Tiempo_s,Temperatura_C
0,84
10,83.5
20,83.2
30,83
40,82.7
50,82.5
60,82.2
70,81.9
80,81.7
90,81.5
100,81.3
110,81
120,80.8
130,80.5
140,80.3
150,80.1
160,79.9
170,79.7
180,79.4
190,79.2
200,78.9
210,78.7
220,78.6
230,78.3
240,78.1
250,78
260,77.7
270,77.5
280,77.3
290,77.2
300,76.8
310,76.6
320,76.4
330,76.1
340,76.1
350,75.9
360,75.8
370,75.6
380,75.5
390,75.3
400,75.2
410,75.1
420,74.9
430,74.7
440,74.6
450,74.4
460,74.3
470,74.3
480,74
490,73.9
500,73.8
510,73.7
520,73.5
530,73.4
540,73.3
550,73.2
560,73.1
570,72.9
580,72.7
590,72.6
600,72.5
610,72.3
620,72.2
630,72
640,71.9
650,71.9
660,71.8
670,71.6
680,71.5
690,71.4
700,71.2
710,71.1
720,71
730,70.9
740,70.7
750,70.5
760,70.5
770,70.4
780,70.2
790,70.1
800,70
810,69.8
820,69.8
830,69.7
840,69.5
850,69.4
860,69.3
870,69.1
880,68.9
890,68.9
900,68.8
910,68.8
920,68.5
930,68.5
940,68.4
950,68.3
960,68.1
970,68
980,67.9
990,67.8
1000,67.6
1010,67.5
1020,67.4
1030,67.3
1040,67.2
1050,67.1
1060,67.1
1070,67
1080,66.7
1090,66.7
1100,66.6
1110,66.5
1120,66.4
1130,66.3
1140,66.1
1150,66
1160,66
1170,65.9
1180,65.8
1190,65.8
1200,65.7
1210,65.5
1220,65.5
1230,65.4
1240,65.3
1250,65.2
1260,65.1
1270,65
1280,64.9
1290,64.8
1300,64.7
1310,64.7
1320,64.6
1330,64.5
1340,64.4
1350,64.3
1360,64.2
1370,64.2
1380,64.1
1390,64
1400,63.9
1410,63.8
1420,63.7
1430,63.6
1440,63.5
1450,63.4
1460,63.3
1470,63.2
1480,63.1
1490,63.2
1500,62.9
1510,62.9
1520,62.8
1530,62.6
1540,62.5
1550,62.4
1560,62.4
1570,62.2
1580,62.2
1590,62.1
1600,62
1610,61.9
1620,61.9
1630,61.8
1640,61.7
1650,61.6
1660,61.5
1670,61.5
1680,61.4
1690,61.4
1700,61.3
1710,61.2
1720,61.1
1730,61.1
1740,61
1750,60.9
1760,60.8
1770,60.8
1780,60.7
1790,60.6
1800,60.6
1810,60.5
1820,60.4
1830,60.3
1840,60.3
1850,60.2
1860,60.2
1870,60.1
1880,60
1890,59.9
1900,59.9
1910,59.8
1920,59.8
1930,59.7
1940,59.7
1950,59.6
1960,59.6
1970,59.5
1980,59.4
1990,59.4
2000,59.3
2010,59.3
2020,59.2
2030,59.2
2040,59.1
2050,59
2060,59
2070,58.9
2080,58.9
2090,58.8
2100,58.8
2110,58.7
2120,58.7
2130,58.6
2140,58.6
2150,58.5
2160,58.4
2170,58.4
2180,58.3
2190,58.3
2200,58.2
2210,58.1
2220,58.1
2230,58
2240,58
2250,57.9
2260,57.9
2270,57.8
2280,57.8
2290,57.7
2300,57.7
2310,57.6
2320,57.5
2330,57.5
2340,57.4
2350,57.3
2360,57.2
2370,57.2
2380,57.1
2390,57.1
2400,57
2410,56.9
2420,56.9
2430,56.8
2440,56.8
2450,56.7
2460,56.7
2470,56.6
2480,56.6
2490,56.5
2500,56.5
2510,56.4
2520,56.4
2530,56.3
2540,56.2
2550,56.1
2560,56.1
2570,56.1
2580,56
2590,56
2600,55.9
2610,55.9
2620,55.8
2630,55.8
2640,55.7
2650,55.6
2660,55.6
2670,55.5
2680,55.5
2690,55.4
2700,55.4
2710,55.3
2720,55.3
2730,55.2
2740,55.2
2750,55.1
2760,55.1
2770,55
2780,55
2790,54.9
2800,54.8
2810,54.8
2820,54.8
2830,54.7
2840,54.6
2850,54.6
2860,54.5
2870,54.5
2880,54.4
2890,54.4
2900,54.3
2910,54.3
2920,54.2
2930,54.2
2940,54.1
2950,54
2960,54
2970,53.9
2980,53.9
2990,53.8
3000,53.8
3010,53.7
3020,53.7
3030,53.6
3040,53.6
3050,53.5
3060,53.5
3070,53.4
3080,53.4
3090,53.3
3100,53.3
3110,53.2
3120,53.2
3130,53.1
