Tiempo_s,Temperatura_C
0,85
10,84.3
20,83.6
30,83.4
40,82.8
50,82.4
60,82.1
70,81.5
80,81.1
90,80.8
100,80.3
110,79.8
120,79.4
130,79
140,78.5
150,78.1
160,77.7
170,77.1
180,76.7
190,76.3
200,75.9
210,75.5
220,75.2
230,74.9
240,74.6
250,74.3
260,74
270,73.7
280,73.2
290,73
300,72.7
310,72.3
320,72
330,71.7
340,71.3
350,71.1
360,70.9
370,70.7
380,70.4
390,70
400,69.7
410,69.4
420,69
430,68.8
440,68.6
450,68.3
460,68.1
470,67.8
480,67.5
490,67.4
500,67.1
510,67
520,66.7
530,66.5
540,66.3
550,66
560,65.8
570,65.6
580,65.4
590,65.2
600,64.9
610,64.8
620,64.6
630,64.3
640,64.2
650,63.9
660,63.7
670,63.4
680,63.3
690,63.1
700,62.9
710,62.7
720,62.5
730,62.2
740,62.1
750,61.9
760,61.7
770,61.5
780,61.3
790,61.2
800,60.8
810,60.5
820,60.5
830,60.3
840,60.1
850,60
860,59.8
870,59.7
880,59.4
890,59.3
900,59.1
910,59
920,58.8
930,58.5
940,58.3
950,58.1
960,57.9
970,57.7
980,57.5
990,57.2
1000,57.1
1010,56.9
1020,56.7
1030,56.5
1040,56.4
1050,56
1060,55.8
1070,55.6
1080,55.4
1090,55.2
1100,55.1
1110,54.8
1120,54.6
1130,54.5
1140,54.3
1150,54
1160,53.8
1170,53.6
1180,53.5
1190,53.3
1200,53.2
1210,53
1220,52.7
1230,52.6
1240,52.3
1250,52.1
1260,51.9
1270,51.7
1280,51.6
1290,51.5
1300,51.4
1310,51.3
1320,51.1
1330,51
1340,50.9
1350,50.8
1360,50.6
1370,50.5
1380,50.3
1390,50.1
1400,50
1410,49.9
1420,49.7
1430,49.6
1440,49.4
1450,49.3
1460,49.1
1470,49
1480,48.8
1490,48.7
1500,48.6
1510,48.5
1520,48.3
1530,48.1
1540,48
1550,47.8
1560,47.6
1570,47.6
1580,47.5
1590,47.3
1600,47.2
1610,46.9
1620,46.7
1630,46.6
1640,46.4
1650,46.1
1660,46.1
1670,46
1680,45.9
1690,45.8
1700,45.4
1710,45.3
1720,45.3
1730,45.1
1740,44.9
1750,44.9
1760,44.7
1770,44.6
1780,44.5
1790,44.4
1800,44.2
1810,44.1
1820,44
1830,43.9
1840,43.8
1850,43.7
1860,43.6
1870,43.5
1880,43.4
1890,43.2
1900,43.1
1910,43
1920,43
1930,42.9
1940,42.8
1950,42.8
1960,42.5
1970,42.4
1980,42.4
1990,42.2
2000,42
2010,42.1
2020,41.9
2030,41.8
2040,41.7
2050,41.5
2060,41.4
2070,41.3
2080,41.2
2090,41.1
2100,41
2110,41
2120,40.9
2130,40.8
2140,40.7
2150,40.6
2160,40.5
2170,40.4
2180,40.3
2190,40.2
2200,40.1
2210,40
2220,40
2230,39.8
2240,39.7
2250,39.6
2260,39.6
2270,39.5
2280,39.4
2290,39.4
2300,39.2
2310,39.1
2320,39
2330,38.9
2340,38.8
2350,38.7
2360,38.6
2370,38.5
2380,38.5
2390,38.3
2400,38.3
2410,38.2
2420,38
2430,37.8
2440,37.7
2450,37.6
2460,37.6
2470,37.6
2480,37.5
2490,37.4
2500,37.3
2510,37.3
2520,37.1
2530,37
2540,37
2550,37
2560,36.9
2570,36.8
2580,36.7
2590,36.6
2600,36.5
2610,36.4
2620,36.4
2630,36.3
2640,36.3
2650,36.2
2660,36.2
2670,36.1
2680,36
2690,35.9
2700,35.8
2710,35.8
2720,35.7
2730,35.7
2740,35.6
2750,35.6
2760,35.4
2770,35.4
2780,35.3
2790,35.2
2800,35.1
2810,35
2820,34.9
2830,34.9
2840,34.8
2850,34.8
2860,34.7
2870,34.6
2880,34.6
2890,34.5
2900,34.5
2910,34.4
2920,34.4
2930,34.3
2940,34.3
2950,34.2
2960,34.2
2970,34.2
2980,34.1
2990,34
3000,34
3010,33.9
3020,33.9
3030,33.8
3040,33.7
3050,33.7
3060,33.7
3070,33.6
3080,33.6
3090,33.5
3100,33.5
3110,33.5
3120,33.4
3130,33.3
3140,33.3
3150,33.3
3160,33.3
3170,33.2
3180,33.2
3190,33.2
3200,33.1
3210,33.1
3220,33
3230,33
3240,33
3250,32.9
3260,32.9
3270,32.9
3280,32.8
3290,32.8
3300,32.7
3310,32.7
3320,32.7
3330,32.7
3340,32.6
3350,32.6
3360,32.5
3370,32.5
3380,32.4
3390,32.4
3400,32.4
3410,32.3
3420,32.3
3430,32.2
3440,32.2
3450,32.2
3460,32.2
3470,32.2
3480,32.1
3490,32.1
3500,32.1
3510,32.1
3520,31.9
3530,31.9
3540,31.9
3550,31.8
3560,31.8
3570,31.7
3580,31.6
3590,31.7
3600,31.5
3610,31.5
3620,31.4
3630,31.5
3640,31.5
3650,31.5
3660,31.4
3670,31.3
